tool		CRAMC 	CRAMC 	CRAMC 	CRAMC 	CRAMC 	Mcmillan 	Mcmillan 	Mcmillan 	Mcmillan 	Mcmillan 
run set		CRAMC.thesis-all	CRAMC.thesis-all	CRAMC.thesis-all	CRAMC.thesis-all	CRAMC.thesis-all	Mcmillan.accel	Mcmillan.accel	Mcmillan.accel	Mcmillan.accel	Mcmillan.accel
tasks/		status	cputime (s)	walltime (s)	memory (MB)	cpuenergy (J)	status	cputime (s)	walltime (s)	memory (MB)	cpuenergy (J)
loop-acceleration/simple_4-2.yml	true	true	0.384074563	0.31775904100504704	234.364928	9.129333					
loop-acceleration/simple_4-2_abstracted.yml	true	true	0.297987471	0.23227290499198716	90.017792	6.959412					
loop-acceleration/underapprox_1-1.yml	false	false	0.403305928	0.33526083298784215	233.603072	9.835938					
loop-acceleration/underapprox_1-2.yml	true	TIMEOUT	181.000243066	181.02637956099352	989.876224	4680.570801					
loop-acceleration/underapprox_2-1.yml	false	false	0.397251295	0.326371504997951	233.676800	9.262634					
loop-acceleration/underapprox_2-2.yml	true	true	0.3918722	0.3278526049980428	234.610688	9.896545					
loop-crafted/simple_vardep_1.yml	true	true	0.431285027	0.36990746099036187	217.608192	10.533020					
loop-crafted/simple_vardep_2.yml	true	true	0.461798571	0.38981274400430266	217.354240	11.258484					
loop-invgen/MADWiFi-encode_ie_ok.yml	true	true	0.728417042	0.6614330849988619	717.037568	18.020325					
loop-invgen/NetBSD_loop.yml	true	true	0.505373038	0.4412284389982233	415.342592	12.750610					
loop-invgen/SpamAssassin-loop.i.v+cfa-reducer.yml	true	TIMEOUT	181.241641934	181.19762177899247	5062.918144	4993.014526					
loop-invgen/SpamAssassin-loop.yml	true	TIMEOUT	181.172616766	181.1153533799952	2573.524992	4763.694763					
loop-invgen/apache-escape-absolute.i.v+cfa-reducer.yml	true	true	3.736233513	3.6624654899933375	3062.673408	94.583679					
loop-invgen/apache-escape-absolute.yml	true	true	2.322373605	2.254522741000983	2587.938816	60.144226					
loop-invgen/apache-get-tag.i.p+lhb-reducer.yml	true	true	10.74465661	10.6580030490004	4493.709312	274.260620					
loop-invgen/apache-get-tag.i.p+nlh-reducer.yml	true	TIMEOUT	181.34630805	181.243458500001	6841.192448	4627.738831					
loop-invgen/apache-get-tag.i.p+sep-reducer.yml	true	TIMEOUT	181.436936827	181.3190267280006	9767.849984	4836.297729					
loop-invgen/apache-get-tag.i.v+lhb-reducer.yml	true	true	3.488344471	3.419354450990795	2611.744768	87.981567					
loop-invgen/apache-get-tag.i.v+nlh-reducer.yml	true	true	3.492094741	3.4209858190006344	2505.789440	88.277527					
loop-invgen/apache-get-tag.yml	true	true	2.103964612	2.034032252006	1908.768768	52.273315					
loop-invgen/down.yml	true	true	0.47204801	0.41295608000655193	343.986176	11.620239					
loop-invgen/fragtest_simple.yml	true	true	0.699647997	0.6296888159995433	595.402752	17.044434					
loop-invgen/half_2.yml	true	true	0.522888212	0.45475348600302823	397.520896	12.746887					
loop-invgen/heapsort.yml	true	TIMEOUT	181.170204283	181.12729024300643	2879.377408	4830.547546					
loop-invgen/id_build.i.p+nlh-reducer.yml	true	true	44.972657786	44.882581066995044	5663.121408	1200.521545					
loop-invgen/id_build.i.p+sep-reducer.yml	true	true	44.909437035	44.806337435002206	5656.756224	1200.019592					
loop-invgen/id_build.i.v+lhb-reducer.yml	true	true	0.853824218	0.7828809469938278	837.799936	21.037292					
loop-invgen/id_build.yml	true	true	0.60273934	0.5374605959950713	543.133696	14.472900					
loop-invgen/id_trans.yml	false	unknown	0.52517741	0.4583914679969894	465.637376	12.695618					
loop-invgen/large_const.yml	true	true	0.657487167	0.5923317950073397	540.700672	15.862244					
loop-invgen/nest-if3.yml	true	true	0.614282024	0.5462325889966451	539.348992	14.746155					
loop-invgen/nested6.yml	true	true	1.384360917	1.3178879589977441	1238.786048	34.910278					
loop-invgen/nested9.yml	true	true	0.787774838	0.7214256369916257	861.540352	19.219055					
loop-invgen/sendmail-close-angle.yml	true	unknown	0.851576296	0.7870026279997546	613.928960	20.733459					
loop-invgen/seq-3.yml	true	true	0.640355643	0.5719575250113849	612.720640	15.919739					
loop-invgen/string_concat-noarr.yml	true	true	0.582439937	0.5109226340136956	557.412352	14.060303					
loop-invgen/up.yml	true	true	0.478350539	0.41933623899240047	344.064000	11.623596					
loop-lit/afnp2014.yml	true	true	0.457113261	0.38946176099125296	341.532672	10.695435					
loop-lit/bhmr2007.yml	true	true	0.475337728	0.40578021899273153	307.052544	11.406982					
loop-lit/cggmp2005.yml	true	true	0.389980922	0.32186120700498577	217.284608	9.274658					
loop-lit/cggmp2005_variant.yml	true	true	0.486018055	0.42168303100334015	305.565696	11.794556					
loop-lit/cggmp2005b.yml	true	true	0.726184655	0.6585823109926423	773.066752	17.849060					
loop-lit/css2003.yml	true	true	0.471188465	0.41226320099667646	359.505920	11.468567					
loop-lit/ddlm2013.yml	true	false	0.549395759	0.48122113599674776	272.490496	13.335388					
loop-lit/gcnr2008.yml	false	false	0.659208977	0.5906005650031148	396.320768	15.988220					
loop-lit/gj2007.c.i.p+lhb-reducer.yml	true	TIMEOUT	181.100910568	181.03889109000738	636.370944	4701.628845					
loop-lit/gj2007.c.i.p+nlh-reducer.yml	true	TIMEOUT	181.170160736	181.1217747519986	2689.486848	4736.934875					
loop-lit/gj2007.yml	true	TIMEOUT	180.897944349	181.0267018750019	421.515264	4754.440430					
loop-lit/gj2007b.yml	true	true	0.560354577	0.48974759499833453	328.314880	13.824951					
loop-lit/gr2006.yml	true	TIMEOUT	181.001796407	181.02538994100178	398.581760	4671.243347					
loop-lit/gsv2008.c.i.p+cfa-reducer.yml	true	true	0.445813077	0.3741291610058397	341.622784	10.660706					
loop-lit/gsv2008.c.i.v+cfa-reducer.yml	true	true	0.445399023	0.37984981200133916	341.454848	10.683105					
loop-lit/gsv2008.c.i.v+lhb-reducer.yml	true	true	0.506734615	0.4349844469979871	376.991744	11.900513					
loop-lit/gsv2008.yml	true	true	0.426173275	0.3591126679966692	305.565696	10.141907					
loop-lit/hhk2008.yml	true	true	0.441690085	0.37468501199327875	341.057536	10.465698					
loop-lit/jm2006.c.i.v+cfa-reducer.yml	true	true	0.461154082	0.39309637500264216	359.215104	11.093323					
loop-lit/jm2006.yml	true	true	0.451922305	0.3829071450018091	359.096320	10.999756					
loop-lit/jm2006_variant.yml	true	true	0.478783495	0.41095448900887277	395.431936	11.565613					
loop-new/count_by_1.yml	true	true	0.374195087	0.30513883399544284	216.969216	8.793823					
loop-new/count_by_1_variant.yml	true	true	0.38192975	0.3141373230027966	234.180608	9.041748					
loop-new/count_by_2.yml	true	true	0.373099352	0.3042533959960565	216.903680	8.644897					
loop-new/count_by_k.yml	true	true	0.451424394	0.38961291500891093	306.798592	11.016907					
loop-new/count_by_nondet.yml	true	false	0.481963271	0.41765351699723396	361.009152	11.683533					
loop-new/gauss_sum.i.p+cfa-reducer.yml	true	true	0.487247919	0.41968712100060657	377.122816	11.512024					
loop-new/gauss_sum.i.p+lhb-reducer.yml	true	true	0.616893245	0.545630752996658	554.790912	14.848816					
loop-new/gauss_sum.i.v+cfa-reducer.yml	true	true	0.488777008	0.41937940099160187	377.450496	11.712585					
loop-new/gauss_sum.yml	true	true	0.45863728	0.3937480989989126	341.790720	11.147583					
loop-new/half.yml	true	false	0.497595324	0.4290143169928342	342.200320	11.956909					
loop-new/nested-1.yml	true	true	0.582842225	0.5173829840059625	539.410432	13.765564					
loop-industry-pattern/mod3.c.v+cfa-reducer.yml	true	unknown	0.474236947	0.4077682319912128	288.161792	11.419067					
loop-industry-pattern/mod3.c.v+lhb-reducer.yml	true	true	1.678062044	1.6047978650021832	744.378368	43.198303					
loop-industry-pattern/mod3.c.v+sep-reducer.yml	true	true	1.551351814	1.480656446001376	725.430272	38.738464					
loop-industry-pattern/mod3.yml	true	false	0.476880701	0.41823657699569594	253.571072	11.542725					
loop-invariants/bin-suffix-5.yml	true	false	0.371133428	0.30377638500067405	198.934528	8.668701					
loop-invariants/const.yml	true	true	0.384818887	0.3206416939938208	217.518080	9.228699					
loop-invariants/eq1.yml	true	true	0.431331167	0.3660817800118821	200.556544	10.168823					
loop-invariants/eq2.yml	true	true	0.36513854	0.2970097279903712	163.639296	8.383301					
loop-invariants/even.yml	true	true	0.376309128	0.30920517598860897	199.565312	8.878235					
loop-invariants/linear-inequality-inv-a.yml	true	false	0.79343519	0.6639068169897655	505.315328	18.345703					
loop-invariants/linear-inequality-inv-b.yml	false	false	0.788964534	0.6472653030068614	505.356288	18.502808					
loop-invariants/mod4.yml	true	true	0.37217264	0.30606130399974063	199.806976	8.806458					
loop-invariants/odd.yml	true	true	0.375040026	0.30906510799832176	199.598080	8.848206					
loop-simple/deep-nested.yml	false	TIMEOUT	181.001122536	181.11009222200664	2512.273408	4706.270874					
loop-simple/nested_1.yml	true	true	0.391525959	0.31908777500211727	251.895808	9.199280					
loop-simple/nested_1b.yml	false	false	0.399812339	0.328026838004007	251.179008	9.456665					
loop-simple/nested_2.yml	true	true	0.60656384	0.5407998469891027	561.242112	14.873474					
loop-simple/nested_3.yml	true	true	0.930520725	0.8612739100062754	962.957312	22.529480					
loop-simple/nested_4.yml	true	true	1.380632332	1.3094932319945656	1459.437568	33.815186					
loop-simple/nested_5.yml	true	true	1.98991603	1.9281467480032006	2050.097152	50.963867					
loop-simple/nested_6.yml	true	true	2.787374671	2.7201435360038886	2735.452160	69.994690					
loop-zilu/benchmark02_linear.yml	true	true	0.396246894	0.3309398900019005	252.149760	9.418213					
loop-zilu/benchmark02_linear_abstracted.yml	true	true	0.322518718	0.25446005498815794	142.692352	7.500732					
loop-zilu/benchmark04_conjunctive.yml	true	true	0.451730104	0.3850525840098271	358.641664	10.781372					
loop-zilu/benchmark05_conjunctive.yml	true	false	0.435434322	0.3675386530085234	288.481280	10.420959					
loop-zilu/benchmark09_conjunctive.yml	true	true	0.449485043	0.3924077639967436	341.118976	10.903198					
loop-zilu/benchmark10_conjunctive.yml	true	true	0.47525975	0.4092210610106122	411.856896	11.356140					
loop-zilu/benchmark11_linear.yml	true	true	0.409595977	0.34305921000486705	287.461376	9.640991					
loop-zilu/benchmark11_linear_abstracted.yml	true	true	0.340378308	0.2758450130058918	178.458624	7.803955					
loop-zilu/benchmark14_linear.yml	true	true	0.387091882	0.3189666090038372	251.879424	9.018555					
loop-zilu/benchmark17_conjunctive.yml	true	true	0.426096161	0.36197737300244626	287.469568	10.233093					
loop-zilu/benchmark18_conjunctive.yml	true	true	0.444012362	0.3787092510028742	323.751936	10.639160					
loop-zilu/benchmark19_conjunctive.yml	true	true	0.47896179	0.4094725559989456	394.104832	11.365784					
loop-zilu/benchmark20_conjunctive.yml	true	true	0.472010557	0.40678597199439537	393.961472	11.252563					
loop-zilu/benchmark23_conjunctive.yml	true	true	0.420647691	0.3647068220016081	287.916032	10.055786					
loop-zilu/benchmark25_linear.yml	true	true	0.404637343	0.33962729999620933	287.694848	9.418030					
loop-zilu/benchmark25_linear_abstracted.yml	true	true	0.323318967	0.2646135260001756	142.974976	7.545654					
loop-zilu/benchmark26_linear.yml	true	true	0.375351578	0.30731918099627364	216.944640	9.095215					
loop-zilu/benchmark26_linear_abstracted.yml	true	true	0.32367196	0.25268853300076444	142.868480	7.368408					
loop-zilu/benchmark32_linear.yml	true	false	0.656808239	0.5164583979931194	289.570816	14.931274					
loop-zilu/benchmark33_linear.yml	true	true	0.399875769	0.3325956769986078	269.623296	9.523499					
loop-zilu/benchmark34_conjunctive.yml	true	true	0.478661663	0.4128045419929549	394.121216	11.698853					
loop-zilu/benchmark35_linear.yml	true	true	0.401076555	0.33551295299548656	269.742080	9.279846					
loop-zilu/benchmark37_conjunctive.yml	true	true	0.400159309	0.3370512539986521	252.231680	9.741760					
loop-zilu/benchmark43_conjunctive.yml	true	true	0.423151816	0.3667871500074398	305.676288	10.084839					
loop-zilu/benchmark43_conjunctive_abstracted.yml	true	false	0.342994905	0.27206658299837727	177.823744	7.865784					
loop-zilu/benchmark51_polynomial.yml	true	false	0.685409242	0.5416660810005851	273.096704	15.649597					
loop-zilu/benchmark52_polynomial.yml	true	true	0.391270834	0.32200154299789574	252.309504	9.251709					
nla-digbench/bresenham-ll.yml	true	true	2.216051128	2.1440492359979544	2272.526336	55.315796					
nla-digbench/cohencu-ll.yml	true	true	4.865534371	4.731412553999689	4842.962944	122.016174					
nla-digbench/cohendiv-ll.yml	true	true	27.459049472	30.18886810699769	31391.973376	831.650330					
nla-digbench/dijkstra-u.yml	true	TIMEOUT	180.675690158	181.05806084899814	1024.458752	4732.531616					
nla-digbench/divbin.yml	false	true	8.700383961	8.589315973993507	10026.795008	224.376221					
nla-digbench/divbin2.yml	true	TIMEOUT	181.244599609	181.1974341860041	4958.380032	4780.001160					
nla-digbench/egcd-ll.yml	true	true	17.860393865	17.72146164199512	20729.712640	449.365356					
nla-digbench/egcd2-ll.yml	true	TIMEOUT	181.422579536	181.29148456999974	8010.498048	4654.354858					
nla-digbench/egcd3-ll.yml	true	TIMEOUT	181.43114635	181.35810168601165	10349.780992	4767.061768					
nla-digbench/fermat1-ll.yml	true	TIMEOUT	181.152691937	181.06284136099566	1454.460928	5195.333191					
nla-digbench/fermat2-ll.yml	true	true	57.645736666	57.5182664150052	2233.204736	1602.696533					
nla-digbench/geo1-ll.yml	true	true	1.445417552	1.311573621002026	1268.785152	36.146790					
nla-digbench/geo1-u.yml	false	true	1.026901576	0.9669210880092578	1115.344896	26.302917					
nla-digbench/geo2-ll.yml	true	true	0.689403299	0.6324282020068495	655.630336	17.341064					
nla-digbench/geo3-ll.yml	true	true	0.78534759	0.7264562390046194	750.104576	20.675232					
nla-digbench/hard-ll.yml	true	TIMEOUT	181.21069751	181.08853916999942	1957.957632	4779.711670					
nla-digbench/hard-u.yml	false	TIMEOUT	181.211683296	181.07418072600558	1564.606464	4674.288330					
nla-digbench/hard2.yml	true	true	11.291905106	11.230471928007319	15102.963712	285.331238					
nla-digbench/lcm1.yml	true	TIMEOUT	181.39112646	181.25801825099916	6915.604480	4865.453247					
nla-digbench/lcm2.yml	true	TIMEOUT	181.342051667	181.2026510410069	5100.789760	4693.690430					
nla-digbench/mannadiv.yml	true	true	2.577397733	2.438076695005293	2696.859648	62.809570					
nla-digbench/prod4br-ll.yml	true	TIMEOUT	181.526821523	181.3953052959987	11850.964992	4638.827820					
nla-digbench/prodbin-ll.yml	true	TIMEOUT	181.14245872	181.0381603190035	728.399872	4738.469055					
nla-digbench/ps2-ll.yml	true	true	0.764281401	0.6937838809972163	757.194752	18.847473					
nla-digbench/ps3-ll.yml	true	true	45.671701171	45.537966221992974	3911.450624	1220.303284					
nla-digbench/ps4-ll.yml	true	true	18.855306681	18.729262851993553	3508.764672	521.860779					
nla-digbench/ps5-ll.yml	true	true	109.991610132	109.853328134006	5498.880000	2970.444336					
nla-digbench/ps6-ll.yml	true	TIMEOUT	181.212797225	181.11458813599893	2647.207936	5020.274292					
nla-digbench/sqrt1-ll.yml	true	true	1.499978375	1.4312372940039495	1593.995264	38.846191					
openssl-simplified/s3_srvr_1b.cil.yml	true	false	1.160874658	1.0965741870022612	777.637888	28.698608					
recursive/Ackermann01-2.yml	true	false	1.376885994	1.2556536390038673	859.320320	34.328918					
recursive/Ackermann02.yml	false	false	1.361812174	1.2262894279992906	823.132160	34.166382					
recursive/Ackermann03.yml	true	false	1.370219781	1.239233496991801	858.902528	33.794067					
recursive/Ackermann04.yml	true	false	1.378739189	1.2390441470051883	859.123712	33.036072					
recursive/Addition01-2.yml	true	true	0.979114688	0.8392386920022545	640.819200	22.931702					
recursive/Addition02.yml	false	false	0.993260909	0.860462679003831	641.490944	23.704041					
recursive/Addition03-1.yml	true	true	0.946384592	0.8067877889989177	570.359808	22.606812					
recursive/BallRajamani-SPIN2000-Fig1.yml	false	false	0.866191072	0.726251397994929	408.260608	20.341248					
recursive/EvenOdd01-1.yml	true	unknown	1.105483801	0.9745929259952391	701.939712	26.374084					
recursive/EvenOdd03.yml	false	unknown	1.104668127	0.9634151689970167	701.308928	26.772888					
recursive/Fibonacci01-1.yml	true	false	1.011339733	0.8752879540115828	594.841600	23.878723					
recursive/Fibonacci02.yml	true	false	0.966591729	0.8231291599950055	524.472320	22.652039					
recursive/Fibonacci03.yml	true	false	1.015437887	0.879594106998411	595.013632	23.940491					
recursive/Fibonacci04.yml	false	false	0.995949132	0.8559790269937366	559.611904	23.803528					
recursive/Fibonacci05.yml	false	false	0.995798741	0.863155518003623	559.759360	23.972473					
recursive/McCarthy91-1.yml	false	false	0.846307521	0.7180334000004223	477.978624	20.309692					
recursive/McCarthy91-2.yml	true	false	0.845934854	0.7104927930049598	478.015488	19.921265					
recursive/MultCommutative-2.yml	true	false	1.108359164	0.9711578110000119	736.477184	26.878540					
recursive/Primes.yml	true	false	2.617550975	2.4780759279965423	1806.856192	66.485535					
recursive/gcd01-1.yml	true	false	1.362075668	1.2380485399917234	811.573248	35.031189					
recursive/gcd02.yml	true	true	2.331497072	2.1940546719997656	1466.413056	58.766968					
recursive/recHanoi01.yml	true	false	2.117612571	1.9801016709971009	1115.684864	53.294739					
recursive/recHanoi02-2.yml	true	false	1.068637604	0.9297377500042785	643.473408	25.450867					
recursive/recHanoi03-2.yml	true	false	1.061888634	0.9251669680088526	642.969600	25.615540					
recursive-simple/afterrec-1.yml	false	true	0.708715745	0.5702461899927584	315.113472	16.361877					
recursive-simple/afterrec-2.yml	true	true	0.695438499	0.5744586070068181	315.428864	16.405457					
recursive-simple/afterrec_2calls-1.yml	false	true	0.912641926	0.7828971769922646	576.925696	21.581177					
recursive-simple/afterrec_2calls-2.yml	true	true	0.903688553	0.7749772150127683	576.897024	21.738525					
recursive-simple/fibo_10-1.yml	false	false	0.979050265	0.8405050000001211	524.091392	23.401062					
recursive-simple/fibo_10-2.yml	true	false	0.967096504	0.8271835009945789	524.304384	22.642090					
recursive-simple/fibo_15-1.yml	true	false	0.967238529	0.8287440929998411	524.296192	24.457825					
recursive-simple/fibo_15-2.yml	false	false	0.972570744	0.8469929120037705	523.935744	28.275330					
recursive-simple/fibo_20-1.yml	false	false	0.974252755	0.8437119169975631	524.132352	23.169373					
recursive-simple/fibo_20-2.yml	true	false	0.966324535	0.8265603220061166	524.734464	22.718262					
recursive-simple/fibo_25-1.yml	false	false	0.973107166	0.8316148559970316	524.378112	23.168274					
recursive-simple/fibo_25-2.yml	true	false	0.963526999	0.8263368289917707	524.255232	22.569031					
recursive-simple/fibo_2calls_10-1.yml	true	false	1.234836903	1.0971055809932295	670.416896	30.149048					
recursive-simple/fibo_2calls_10-2.yml	false	false	1.231455401	1.0924640129960608	670.027776	30.252380					
recursive-simple/fibo_2calls_15-1.yml	false	false	1.236705441	1.0943523989990354	670.023680	29.565063					
recursive-simple/fibo_2calls_15-2.yml	true	false	2.806280114	2.6650767880055355	724.361216	70.429199					
recursive-simple/fibo_2calls_2-1.yml	false	false	1.22263471	1.0822216689994093	668.815360	29.937073					
recursive-simple/fibo_2calls_2-2.yml	true	false	1.199933256	1.0576949940004852	668.819456	29.008667					
recursive-simple/fibo_2calls_20-1.yml	false	false	1.230220223	1.0906146160123171	669.855744	29.906494					
recursive-simple/fibo_2calls_20-2.yml	true	false	1.330267375	1.1908050710044336	671.428608	32.089233					
recursive-simple/fibo_2calls_25-1.yml	false	false	1.228045899	1.0928929729998345	670.134272	29.674316					
recursive-simple/fibo_2calls_25-2.yml	true	false	1.329997385	1.2006429149914766	671.326208	33.059448					
recursive-simple/fibo_2calls_4-1.yml	true	false	1.230477143	1.0988213649980025	668.594176	29.537598					
recursive-simple/fibo_2calls_4-2.yml	false	false	1.204022774	1.0732799629913643	668.999680	29.615112					
recursive-simple/fibo_2calls_5-1.yml	true	false	1.199762081	1.0625362629943993	668.958720	29.273254					
recursive-simple/fibo_2calls_5-2.yml	false	false	1.206613267	1.0696263120044023	669.106176	28.837036					
