tool		CRAMC 	CRAMC 	CRAMC 	CRAMC 	CRAMC 	Mcmillan 	Mcmillan 	Mcmillan 	Mcmillan 	Mcmillan 	Ultimate 0.2.3-863304a1	Ultimate 0.2.3-863304a1	Ultimate 0.2.3-863304a1	Ultimate 0.2.3-863304a1	Ultimate 0.2.3-863304a1
run set		CRAMC.thesis-all	CRAMC.thesis-all	CRAMC.thesis-all	CRAMC.thesis-all	CRAMC.thesis-all	Mcmillan.accel	Mcmillan.accel	Mcmillan.accel	Mcmillan.accel	Mcmillan.accel	Ultimate.thesis-all	Ultimate.thesis-all	Ultimate.thesis-all	Ultimate.thesis-all	Ultimate.thesis-all
tasks/		status	cputime (s)	walltime (s)	memory (MB)	cpuenergy (J)	status	cputime (s)	walltime (s)	memory (MB)	cpuenergy (J)	status	cputime (s)	walltime (s)	memory (MB)	cpuenergy (J)
loop-invgen/apache-get-tag.i.v+nlh-reducer.yml	true	true	3.492094741	3.4209858190006344	2505.789440	88.277527						true	60.828020827	42.34404681400338	696.270848	1296.935425
loop-invgen/apache-get-tag.yml	true	true	2.103964612	2.034032252006	1908.768768	52.273315						true	16.567522947	6.108843444002559	304.623616	235.231079
loop-invgen/down.yml	true	true	0.47204801	0.41295608000655193	343.986176	11.620239						TIMEOUT	243.398268967	181.0043133470026	689.967104	5488.992615
loop-invgen/fragtest_simple.yml	true	true	0.699647997	0.6296888159995433	595.402752	17.044434						TIMEOUT	247.53364538	181.0047493430029	1012.912128	5740.993774
loop-invgen/half_2.yml	true	true	0.522888212	0.45475348600302823	397.520896	12.746887						TIMEOUT	236.051289352	181.00476997800433	590.774272	5718.555115
loop-invgen/heapsort.yml	true	TIMEOUT	181.170204283	181.12729024300643	2879.377408	4830.547546						TIMEOUT	207.623607485	181.00962316500227	1106.055168	5026.798279
loop-invgen/id_build.i.p+nlh-reducer.yml	true	true	44.972657786	44.882581066995044	5663.121408	1200.521545						true	19.342485428	7.0053504449970205	377.864192	271.734558
loop-invgen/id_build.i.p+sep-reducer.yml	true	true	44.909437035	44.806337435002206	5656.756224	1200.019592						true	19.974503653	7.015310169997974	351.948800	278.416504
loop-invgen/id_build.i.v+lhb-reducer.yml	true	true	0.853824218	0.7828809469938278	837.799936	21.037292						true	12.106299351	4.774754411999311	261.804032	175.895203
loop-invgen/id_build.yml	true	true	0.60273934	0.5374605959950713	543.133696	14.472900						true	11.799449248	4.6018101400040905	281.874432	168.463135
loop-invgen/id_trans.yml	false	unknown	0.52517741	0.4583914679969894	465.637376	12.695618						false(unreach-call)	11.54135518	4.751183614003821	286.040064	170.082336
loop-invgen/large_const.yml	true	true	0.657487167	0.5923317950073397	540.700672	15.862244						true	16.76045111	7.056607524995343	300.298240	246.346985
loop-invgen/nest-if3.yml	true	true	0.614282024	0.5462325889966451	539.348992	14.746155						true	11.374438217	4.5565728260044125	282.804224	166.481201
loop-invgen/nested6.yml	true	true	1.384360917	1.3178879589977441	1238.786048	34.910278						true	22.771790916	9.054117175997817	319.590400	330.478638
loop-invgen/nested9.yml	true	true	0.787774838	0.7214256369916257	861.540352	19.219055						true	16.75351136	7.098157032000017	314.273792	247.511719
loop-invgen/sendmail-close-angle.yml	true	unknown	0.851576296	0.7870026279997546	613.928960	20.733459						true	27.346407448	10.366722144004598	373.919744	389.184265
loop-invgen/seq-3.yml	true	true	0.640355643	0.5719575250113849	612.720640	15.919739						TIMEOUT	223.866691164	181.00458460400114	572.407808	5250.787537
loop-invgen/string_concat-noarr.yml	true	true	0.582439937	0.5109226340136956	557.412352	14.060303						TIMEOUT	230.77662442	181.00473484700342	1903.804416	5403.957458
loop-invgen/up.yml	true	true	0.478350539	0.41933623899240047	344.064000	11.623596						TIMEOUT	244.988218141	181.00490120399627	600.391680	5512.514038
loop-lit/afnp2014.yml	true	true	0.457113261	0.38946176099125296	341.532672	10.695435						true	13.483683983	5.454299600998638	303.607808	195.972412
loop-lit/bhmr2007.yml	true	true	0.475337728	0.40578021899273153	307.052544	11.406982						true	17.028495169	6.661144395002339	324.415488	245.669006
loop-lit/cggmp2005.yml	true	true	0.389980922	0.32186120700498577	217.284608	9.274658						true	12.932765747	5.417670884002291	315.514880	190.683167
loop-lit/cggmp2005_variant.yml	true	true	0.486018055	0.42168303100334015	305.565696	11.794556						true	16.169678697	6.983945734995359	299.388928	243.057434
loop-lit/cggmp2005b.yml	true	true	0.726184655	0.6585823109926423	773.066752	17.849060						true	12.791712625	5.414432399003999	299.933696	187.997742
loop-lit/css2003.yml	true	true	0.471188465	0.41226320099667646	359.505920	11.468567						true	12.527655837	5.200388113997178	306.421760	183.594788
loop-lit/ddlm2013.yml	true	false	0.549395759	0.48122113599674776	272.490496	13.335388						true	19.4035305	9.546343640999112	322.781184	317.048279
loop-lit/gcnr2008.yml	false	false	0.659208977	0.5906005650031148	396.320768	15.988220						false(unreach-call)	10.534176773	4.404189253997174	273.178624	157.931030
loop-lit/gj2007.c.i.p+lhb-reducer.yml	true	TIMEOUT	181.100910568	181.03889109000738	636.370944	4701.628845						true	55.134211026	24.855683896996197	610.988032	906.335144
loop-lit/gj2007.c.i.p+nlh-reducer.yml	true	TIMEOUT	181.170160736	181.1217747519986	2689.486848	4736.934875						true	69.947528935	29.429076722997706	658.141184	1122.000000
loop-lit/gj2007.yml	true	TIMEOUT	180.897944349	181.0267018750019	421.515264	4754.440430						true	51.152137596	22.32002282999747	538.456064	815.668152
loop-lit/gj2007b.yml	true	true	0.560354577	0.48974759499833453	328.314880	13.824951						true	14.544455989	5.946736878999218	325.599232	213.148376
loop-lit/gr2006.yml	true	TIMEOUT	181.001796407	181.02538994100178	398.581760	4671.243347						true	64.986061506	30.170130213999073	828.243968	1091.105896
loop-lit/gsv2008.c.i.p+cfa-reducer.yml	true	true	0.445813077	0.3741291610058397	341.622784	10.660706						true	11.791738444	4.985750364998239	332.443648	174.249084
loop-lit/gsv2008.c.i.v+cfa-reducer.yml	true	true	0.445399023	0.37984981200133916	341.454848	10.683105						true	12.487862489	4.887065600996721	296.722432	181.181458
loop-lit/gsv2008.c.i.v+lhb-reducer.yml	true	true	0.506734615	0.4349844469979871	376.991744	11.900513						true	12.302160821	5.065524611003639	309.026816	179.794312
loop-lit/gsv2008.yml	true	true	0.426173275	0.3591126679966692	305.565696	10.141907						true	11.823680295	4.922235650999937	317.665280	174.875122
loop-lit/hhk2008.yml	true	true	0.441690085	0.37468501199327875	341.057536	10.465698						true	14.572352517	6.341735344998597	298.889216	219.670410
loop-lit/jm2006.c.i.v+cfa-reducer.yml	true	true	0.461154082	0.39309637500264216	359.215104	11.093323						true	13.320854072	5.289478613005485	305.446912	193.331482
loop-lit/jm2006.yml	true	true	0.451922305	0.3829071450018091	359.096320	10.999756						true	12.758886172	5.274533048999729	288.067584	186.441345
loop-lit/jm2006_variant.yml	true	true	0.478783495	0.41095448900887277	395.431936	11.565613						true	15.257324521	6.216948354995111	317.362176	222.604309
loop-new/count_by_1.yml	true	true	0.374195087	0.30513883399544284	216.969216	8.793823						true	12.219483346	4.956555355005548	295.436288	178.414795
